method,dataset,stream_size,metric,mean,std
HourglassSketch,NotreDame,1500000,aae,55.435979999999994,0.04488930384846731
HourglassSketch,CAIDA2018,2000000,aae,808.7221999999999,104.82257743329916
HourglassSketch,CAIDA2018,8000000,aae,316.89599999999996,3.9042682797164496
HourglassSketch,CAIDA2018,16000000,aae,1094.5459999999998,9.775118618206088
HourglassSketch,CAIDA2018,27100000,aae,2766.7859999999996,36.22001689673822
HourglassSketch,WiKiTalk,2000000,aae,159.2694,1.3095626140051457
HourglassSketch,WiKiTalk,8000000,aae,1234.2580000000003,11.432793884261164
HourglassSketch,WiKiTalk,16000000,aae,3588.0199999999995,21.097913640926667
HourglassSketch,WiKiTalk,25000000,aae,6073.416,31.307720836879714
HourglassSketch,StackOverflow,2000000,aae,94.883,0.1603434189482057
HourglassSketch,StackOverflow,8000000,aae,753.6694,1.06378749757646
HourglassSketch,StackOverflow,16000000,aae,2094.5439999999994,1.5244881108095998
HourglassSketch,StackOverflow,63500000,aae,9233.223999999998,5.5119600869382435
Mayfly,Lkml,20000,aae,15.070000000000002,5.713562811416358
Mayfly,Lkml,40000,aae,16.514,5.628255857723599
Mayfly,Lkml,80000,aae,30.631999999999998,14.878278663877754
Mayfly,Lkml,200000,aae,29.834000000000003,15.507673713358816
Mayfly,Lkml,400000,aae,49.576,28.83386384097698
Mayfly,Lkml,800000,aae,90.9,54.706450442338145
Mayfly,NotreDame,200000,aae,17.953999999999997,4.103684198375894
Mayfly,NotreDame,500000,aae,19.648,3.390996313769745
Mayfly,NotreDame,1000000,aae,33.791999999999994,11.292722258162556
Mayfly,NotreDame,1500000,aae,45.2,13.806034912312802
Mayfly,CAIDA2018,2000000,aae,124.85799999999999,43.48506106699173
Mayfly,CAIDA2018,8000000,aae,349.31399999999996,119.02746768708472
Mayfly,CAIDA2018,16000000,aae,618.884,220.68296106405677
Mayfly,CAIDA2018,27100000,aae,939.9,336.2996564969997
Mayfly,WiKiTalk,2000000,aae,259.86800000000005,146.33027101731207
Mayfly,WiKiTalk,8000000,aae,651.094,338.4201237869876
Mayfly,WiKiTalk,16000000,aae,995.3459999999999,455.1811337302986
Mayfly,WiKiTalk,25000000,aae,1279.992,536.2882388566806
Mayfly,StackOverflow,2000000,aae,64.548,16.915771812128465
Mayfly,StackOverflow,8000000,aae,135.78400000000002,37.257117226108626
Mayfly,StackOverflow,16000000,aae,247.32999999999998,70.24263747895576
Mayfly,StackOverflow,63500000,aae,1272.604,391.80556451382876
