method,dataset,stream_length,mean,std
Mayfly (zipf),Lkml,40000,11.15,3.6402252677547313
Mayfly (zipf),Lkml,80000,18.845999999999997,8.543555700058377
Mayfly (zipf),Lkml,200000,18.672000000000004,9.123296334110826
Mayfly (zipf),Lkml,400000,29.842000000000002,16.289993738488665
Mayfly (zipf),Lkml,800000,52.779999999999994,29.38920345977414
Mayfly (zipf),NotreDame,200000,17.954,4.103684198375894
Mayfly (zipf),NotreDame,500000,19.648,3.390996313769745
Mayfly (zipf),NotreDame,1000000,33.792,11.292722258162556
Mayfly (zipf),NotreDame,1497134,45.2,13.806034912312802
Mayfly (zipf),CAIDA2018,2000000,65.636,23.250750181445756
Mayfly (zipf),CAIDA2018,8000000,175.99200000000002,60.545691638629414
Mayfly (zipf),CAIDA2018,16000000,302.044,111.50597124818026
Mayfly (zipf),CAIDA2018,27121713,442.87800000000004,162.41227778711806
Mayfly (zipf),WiKiTalk,2000000,180.658,101.5952733939921
Mayfly (zipf),WiKiTalk,8000000,454.22200000000004,234.39455534632202
Mayfly (zipf),WiKiTalk,16000000,723.2560000000001,321.7083761172531
Mayfly (zipf),WiKiTalk,24981163,955.732,384.2687840769791
Mayfly (zipf),StackOverflow,2000000,61.512,16.14629418783146
Mayfly (zipf),StackOverflow,8000000,130.402,35.7644937892318
Mayfly (zipf),StackOverflow,16000000,237.92600000000002,67.552681841656
Mayfly (zipf),StackOverflow,63497050,1006.912,308.46044488070106
Mayfly (uniform),Lkml,20000,69.236,93.08288749281469
Mayfly (uniform),Lkml,40000,100.09,144.10196265145038
Mayfly (uniform),Lkml,80000,244.302,357.49265756935483
Mayfly (uniform),Lkml,200000,287.49800000000005,437.24032976842386
Mayfly (uniform),Lkml,400000,548.0939999999999,859.7984622363543
Mayfly (uniform),Lkml,800000,1059.79,1637.515843550834
Mayfly (uniform),NotreDame,200000,155.61999999999998,218.01229735957557
Mayfly (uniform),NotreDame,500000,234.96400000000003,292.5466733087218
Mayfly (uniform),NotreDame,1000000,546.806,548.4851117614771
Mayfly (uniform),NotreDame,1497134,664.818,620.5342543776289
Mayfly (uniform),CAIDA2018,2000000,1422.7140000000002,2035.1286523126737
Mayfly (uniform),CAIDA2018,8000000,2034.812,2569.1101395261353
Mayfly (uniform),CAIDA2018,16000000,1608.3759999999997,1952.3853124380955
Mayfly (uniform),CAIDA2018,27121713,1270.1380000000001,1431.347757624261
Mayfly (uniform),WiKiTalk,2000000,2345.282,3878.8891799039584
Mayfly (uniform),WiKiTalk,8000000,3301.7059999999997,4889.928646582075
Mayfly (uniform),WiKiTalk,16000000,2610.872,3775.910977697435
Mayfly (uniform),WiKiTalk,24981163,2103.982,2853.071667367646
Mayfly (uniform),StackOverflow,2000000,1176.042,1859.3621338018047
Mayfly (uniform),StackOverflow,8000000,616.988,640.0270312229007
Mayfly (uniform),StackOverflow,16000000,317.466,304.53955714159696
Mayfly (uniform),StackOverflow,63497050,836.5720000000001,934.2256371648126
