alpha,method,dataset,stream_size,mean,std
0.5,Mayfly,WiKiTalk,16000000,635.2222924390637,294.6334958811925
0.5,Mayfly,WiKiTalk,25000000,824.1034626631235,326.4315159554162
0.5,Mayfly,StackOverflow,2000000,54.54485644063412,9.750828942161684
0.5,Mayfly,StackOverflow,8000000,120.78980535497138,27.73300400568603
0.5,Mayfly,StackOverflow,16000000,223.87184736722665,59.66454814928054
0.5,Mayfly,StackOverflow,63500000,789.661403655801,220.59524396162095
1.0,Crane,Lkml,20000,0.7672560693084186,0.1315405013549967
1.0,Crane,Lkml,40000,0.7670761953133454,0.1429736161315765
1.0,Crane,Lkml,80000,0.8751325540894627,0.0688269650916213
1.0,Crane,Lkml,200000,0.8272023914520957,0.0688844511735837
1.0,Crane,Lkml,400000,0.7899683713430061,0.0300468158707461
1.0,Crane,Lkml,800000,0.833084663279989,0.0595595453607708
1.0,Crane,CAIDA2018,2000000,0.9949660061495365,0.0433653349047315
1.0,Crane,CAIDA2018,8000000,1.3634875018763126,0.1677008291048453
1.0,Crane,CAIDA2018,16000000,1.8175223356964767,0.30577526214605
1.0,Crane,CAIDA2018,27100000,2.364114413820299,0.4706817033655716
1.0,Crane,WiKiTalk,2000000,1.5343513924445211,0.4550378242072583
1.0,Crane,WiKiTalk,8000000,5.504090756065041,1.63057446442536
1.0,Crane,WiKiTalk,16000000,12.077390874618448,3.6479454493228847
1.0,Crane,WiKiTalk,25000000,19.94476608498377,5.89392293405219
1.0,Crane,StackOverflow,2000000,3.598069471714365,1.4937384093657258
1.0,Crane,StackOverflow,8000000,15.308076693281446,4.882511876929032
1.0,Crane,StackOverflow,16000000,30.37440637784947,9.265246111395896
1.0,Crane,StackOverflow,63500000,75.91782192153265,22.314743872176106
1.0,TCM,Lkml,20000,1.0616231223042982,0.0
1.0,TCM,Lkml,40000,1.9029299489365925,2.220446049250313e-16
1.0,TCM,Lkml,80000,3.3074667635671053,4.440892098500626e-16
1.0,TCM,Lkml,200000,7.998234611614555,8.881784197001252e-16
1.0,TCM,Lkml,400000,13.762402728600293,0.0
1.0,TCM,Lkml,800000,24.06819375262558,0.0
1.0,TCM,CAIDA2018,2000000,8.490677,0.0
1.0,TCM,CAIDA2018,8000000,25.488727625,0.0
1.0,TCM,CAIDA2018,16000000,45.6638386875,0.0
1.0,TCM,CAIDA2018,27100000,71.0808468476899,0.0
1.0,TCM,WiKiTalk,2000000,116.448506,0.0
1.0,TCM,WiKiTalk,8000000,573.659389875,0.0
1.0,TCM,WiKiTalk,16000000,1376.98890525,0.0
1.0,TCM,WiKiTalk,25000000,2487.3493421423173,0.0
1.0,TCM,StackOverflow,2000000,363.926818,0.0
1.0,TCM,StackOverflow,8000000,1523.2559085,0.0
1.0,TCM,StackOverflow,16000000,3166.28275275,0.0
1.0,TCM,StackOverflow,63500000,10174.74078102841,0.0
1.0,GSS,Lkml,20000,3.8320261761935455,0.2992064520838494
1.0,GSS,Lkml,40000,6.121798621783749,0.5200206419564435
1.0,GSS,Lkml,80000,14.855491372937212,8.628724490797973
1.0,GSS,Lkml,200000,19.84195723059073,1.3170567910418505
1.0,GSS,Lkml,400000,49.167767408829945,31.50413600640018
1.0,GSS,Lkml,800000,84.81801171257676,55.57207201645203
1.0,GSS,CAIDA2018,2000000,69.5281487,45.602621507945265
1.0,GSS,CAIDA2018,8000000,187.2115944,124.0832519445782
1.0,GSS,CAIDA2018,16000000,310.98899825,206.50490633760515
1.0,GSS,CAIDA2018,27100000,461.290569471036,306.5857703244617
1.0,GSS,WiKiTalk,2000000,221.5194111,1.4700616222012723
1.0,GSS,WiKiTalk,8000000,986.066394525,11.258037200195036
1.0,GSS,WiKiTalk,16000000,2290.8781758249997,33.715122250908415
1.0,GSS,WiKiTalk,25000000,4034.2637710982463,49.615788999070446
1.0,GSS,StackOverflow,2000000,747.1556168,542.0216896137428
1.0,GSS,StackOverflow,8000000,3009.7517482249996,2185.600892847546
1.0,GSS,StackOverflow,16000000,6164.673522575,4426.876103120686
1.0,GSS,StackOverflow,63500000,20304.006018833945,12614.632515768555
1.0,Auxo,Lkml,20000,1.768043230380249,0.0181932730905722
1.0,Auxo,Lkml,40000,3.3194140102126815,0.0103184744065802
1.0,Auxo,Lkml,80000,5.270963699926072,0.0249568993137543
1.0,Auxo,Lkml,200000,13.2631839004581,0.0268584726894445
1.0,Auxo,Lkml,400000,22.707680189641724,0.026440876071543
1.0,Auxo,Lkml,800000,40.38753425753665,0.0315631859775647
1.0,Auxo,CAIDA2018,2000000,27.539606099999997,0.0966680195263144
1.0,Auxo,CAIDA2018,8000000,75.752811725,0.048564533156502
1.0,Auxo,CAIDA2018,16000000,130.37215972500002,0.1068005707665606
1.0,Auxo,CAIDA2018,27100000,197.95538279606453,0.0903442069816259
1.0,Auxo,WiKiTalk,2000000,152.17782259999998,0.0626999325935848
1.0,Auxo,WiKiTalk,8000000,626.9332731249999,0.263360195681004
1.0,Auxo,WiKiTalk,16000000,1364.6478460625,0.1844658248955994
1.0,Auxo,WiKiTalk,25000000,2289.7965695512257,0.1867524512478337
1.0,Auxo,StackOverflow,2000000,440.88076949999993,0.0163755584851301
1.0,Auxo,StackOverflow,8000000,1775.8292911249998,0.0339888730466376
1.0,Auxo,StackOverflow,16000000,3564.6181821374994,0.0093799848572395
1.0,Auxo,StackOverflow,63500000,8845.975466167327,0.119859293363499
1.0,HourglassSketch,Lkml,20000,0.5578107183580387,0.1305593741746856
1.0,HourglassSketch,Lkml,40000,3.929314362203163,4.058358433252457
